"FIPS_COUNTY","FIPS_STATE","USUAL_FOOD_SPEND","TOTAL_FOOD_SPEND_LAST_WEEK","FOOD_NEED_MORE","FOOD_SPEND_INCREASE_WEEK","RECEIVED_SNAP","NOT_AFFORD_BALANCED_MEALS"
"037","06",200,150,3,-1,1,2
"037","06",200,90,3,-1,2,3
"037","06",200,90,3,-1,2,3
"037","06",200,90,3,-1,2,3
"037","06",50,30,3,-1,1,3
"037","06",-1,-1,-1,-1,-1,-1
"037","06",-1,-1,-1,-1,-1,-1
"037","06",-1,-1,-1,-1,-1,-1
"037","06",-1,-1,-1,-1,-1,-1
"037","06",300,300,2,-1,1,3
"037","06",300,300,2,-1,1,3
"037","06",300,300,2,-1,1,3
"037","06",300,300,2,-1,1,3
"037","06",300,300,2,-1,1,3
"000","06",90,30,2,-1,-1,-1
"000","06",90,30,2,-1,-1,-1
"053","06",70,130,1,50,2,2
"053","06",70,130,1,50,2,2
"053","06",70,130,1,50,2,2
"053","06",70,130,1,50,2,2
"053","06",100,480,1,80,-1,-1
"053","06",100,480,1,80,-1,-1
"053","06",100,480,1,80,-1,-1
"053","06",100,480,1,80,-1,-1
"053","06",100,480,1,80,-1,-1
"059","06",300,400,2,-1,-1,-1
"059","06",300,400,2,-1,-1,-1
"059","06",300,400,2,-1,-1,-1
"059","06",300,400,2,-1,-1,-1
"059","06",300,400,2,-1,-1,-1
"059","06",150,240,2,-1,2,3
"059","06",150,240,2,-1,2,3
"059","06",150,240,2,-1,2,3
"059","06",150,240,2,-1,2,3
